"EpisodeID","Episode","UserRating","UserVotes"
"S1E1","Simpsons Roasting on an Open Fire",8.2,4153
"S1E2","Bart the Genius",7.8,2320
"S1E3","Homer's Odyssey",7.5,2022
"S1E4","There's No Disgrace Like Home",7.8,2005
"S1E5","Bart the General",8.1,2049
"S1E6","Moaning Lisa",7.6,1980
"S1E7","The Call of the Simpsons",7.9,1922
"S1E8","The Telltale Head",7.7,1868
"S1E9","Life on the Fast Lane",7.5,1867
"S1E10","Homer's Night Out",7.4,1791
"S1E11","The Crepes of Wrath",7.8,1822
"S1E12","Krusty Gets Busted",8.3,2014
"S1E13","Some Enchanted Evening",7.9,1848
"S2E1","Bart Gets an F",8.2,1958
"S2E2","Simpson and Delilah",8.3,1904
"S2E3","Treehouse of Horror",8.3,2126
"S2E4","Two Cars in Every Garage and Three Eyes on Every Fish",8.1,1728
"S2E5","Dancin' Homer",7.5,1633
"S2E6","Dead Putting Society",8.0,1620
"S2E7","Bart vs. Thanksgiving",7.7,1572
"S2E8","Bart the Daredevil",8.4,1796
"S2E9","Itchy and Scratchy and Marge",8.1,1662
"S2E10","Bart Gets Hit by a Car",7.8,1604
"S2E11","One Fish, Two Fish, Blowfish, Blue Fish",8.8,1998
"S2E12","The Way We Was",8.2,1666
"S2E13","Homer vs. Lisa and the 8th Commandment",8.0,1575
"S2E14","Principal Charming",7.5,1480
"S2E15","Oh Brother, Where Art Thou?",8.2,1680
"S2E16","Bart's Dog Gets an F",7.5,1495
"S2E17","Old Money",7.6,1469
"S2E18","Brush with Greatness",8.0,1486
"S2E19","Lisa's Substitute",8.5,1978
"S2E20","The War of the Simpsons",7.9,1473
"S2E21","Three Men and a Comic Book",8.4,1628
"S2E22","Blood Feud",8.0,1455
"S3E1","Stark Raving Dad",8.6,2095
"S3E2","Mr. Lisa Goes to Washington",7.7,1528
"S3E3","When Flanders Failed",8.2,1549
"S3E4","Bart the Murderer",8.7,1708
"S3E5","Homer Defined",8.5,1686
"S3E6","Like Father, Like Clown",7.7,1481
"S3E7","Treehouse of Horror II",8.3,1636
"S3E8","Lisa's Pony",7.9,1454
"S3E9","Saturdays of Thunder",7.9,1409
"S3E10","Flaming Moe's",8.8,1896
"S3E11","Burns Verkaufen der Kraftwerk",8.2,1520
"S3E12","I Married Marge",8.2,1432
"S3E13","Radio Bart",8.5,1602
"S3E14","Lisa the Greek",8.0,1391
"S3E15","Homer Alone",8.0,1391
"S3E16","Bart the Lover",8.3,1496
"S3E17","Homer at the Bat",8.7,1904
"S3E18","Separate Vocations",8.2,1419
"S3E19","Dog of Death",7.8,1365
"S3E20","Colonel Homer",8.0,1455
"S3E21","Black Widower",8.2,1448
"S3E22","The Otto Show",7.8,1378
"S3E23","Bart's Friend Falls in Love",7.8,1365
"S3E24","Brother, Can You Spare Two Dimes?",8.2,1440
"S4E1","Kamp Krusty",8.5,1677
"S4E2","A Streetcar Named Marge",8.2,1566
"S4E3","Homer the Heretic",9.0,2050
"S4E4","Lisa the Beauty Queen",7.8,1410
"S4E5","Treehouse of Horror III",8.4,1656
"S4E6","Itchy & Scratchy: The Movie",8.2,1523
"S4E7","Marge Gets a Job",7.8,1373
"S4E8","New Kid on the Block",8.2,1480
"S4E9","Mr. Plow",8.8,1907
"S4E10","Lisa's First Word",8.5,1604
"S4E11","Homer's Triple Bypass",8.7,1692
"S4E12","Marge vs. the Monorail",9.0,2377
"S4E13","Selma's Choice",8.0,1383
"S4E14","Brother from the Same Planet",8.2,1405
"S4E15","I Love Lisa",8.3,1514
"S4E16","Duffless",8.3,1445
"S4E17","Last Exit to Springfield",9.0,2170
"S4E18","So It's Come to This: A Simpsons Clip Show",7.2,1317
"S4E19","The Front",8.1,1340
"S4E20","Whacking Day",8.1,1467
"S4E21","Marge in Chains",7.7,1286
"S4E22","Krusty Gets Kancelled",8.2,1487
"S5E1","Homer's Barbershop Quartet",8.5,1672
"S5E2","Cape Feare",9.1,2424
"S5E3","Homer Goes to College",8.6,1743
"S5E4","Rosebud",8.9,1757
"S5E5","Treehouse of Horror IV",8.7,1708
"S5E6","Marge on the Lam",8.1,1362
"S5E7","Bart's Inner Child",7.7,1295
"S5E8","Boy Scoutz 'n the Hood",8.7,1534
"S5E9","The Last Temptation of Homer",8.4,1554
"S5E10","$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.6,1520
"S5E11","Homer the Vigilante",8.2,1422
"S5E12","Bart Gets Famous",8.2,1339
"S5E13","Homer and Apu",8.3,1390
"S5E14","Lisa vs. Malibu Stacy",8.2,1402
"S5E15","Deep Space Homer",8.8,1791
"S5E16","Homer Loves Flanders",8.5,1419
"S5E17","Bart Gets an Elephant",7.9,1328
"S5E18","Burns' Heir",8.4,1355
"S5E19","Sweet Seymour Skinner's Baadasssss Song",8.4,1337
"S5E20","The Boy Who Knew Too Much",8.2,1319
"S5E21","Lady Bouvier's Lover",7.6,1204
"S5E22","Secrets of a Successful Marriage",8.1,1263
"S6E1","Bart of Darkness",8.6,1593
"S6E2","Lisa's Rival",8.1,1373
"S6E3","Another Simpsons Clip Show",6.0,1236
"S6E4","Itchy & Scratchy Land",8.5,1523
"S6E5","Sideshow Bob Roberts",8.3,1352
"S6E6","Treehouse of Horror V",9.1,2045
"S6E7","Bart's Girlfriend",8.0,1358
"S6E8","Lisa on Ice",8.5,1476
"S6E9","Homer Badman",9.0,1932
"S6E10","Grampa vs. Sexual Inadequacy",8.0,1252
"S6E11","Fear of Flying",7.8,1296
"S6E12","Homer the Great",9.0,1739
"S6E13","And Maggie Makes Three",8.6,1554
"S6E14","Bart's Comet",8.6,1441
"S6E15","Homie the Clown",8.6,1485
"S6E16","Bart vs. Australia",8.5,1591
"S6E17","Homer vs. Patty and Selma",7.9,1191
"S6E18","A Star Is Burns",8.5,1453
"S6E19","Lisa's Wedding",8.3,1421
"S6E20","Two Dozen and One Greyhounds",8.2,1249
"S6E21","The PTA Disbands",8.1,1200
"S6E22","'Round Springfield",8.3,1299
"S6E23","The Springfield Connection",8.2,1201
"S6E24","Lemon of Troy",8.7,1540
"S6E25","Who Shot Mr. Burns? Part One",9.1,1948
"S7E1","Who Shot Mr. Burns? Part Two",8.9,1786
"S7E2","Radioactive Man",8.3,1384
